id,domain,subdomain,indicator,text,type,answerType,options,scoringKey,weight,difficulty
V13_10_DISC_NEW_001,DISC,TARGET_D,V13_10_DISC_D_NEW_001,"Saat klien meminta perubahan besar sehari sebelum pekerjaan selesai, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.||Mengambil keputusan yang paling cepat menghasilkan kemajuan.||Menentukan hasil yang harus dicapai agar masalah tidak berlarut.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_013,DISC,TARGET_D,V13_10_DISC_D_NEW_013,"Jika kamu menemukan proses kerja yang memiliki terlalu banyak langkah, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.||Mengambil keputusan yang paling cepat menghasilkan kemajuan.||Menentukan hasil yang harus dicapai agar masalah tidak berlarut.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_014,DISC,TARGET_D,V13_10_DISC_D_NEW_014,"Ketika target pribadi bertabrakan dengan kebutuhan mendadak tim, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membangun interaksi yang hidup dan membuat orang tertarik ikut terlibat.||Menggunakan pendekatan komunikatif untuk menjaga energi dan hubungan.||Mengajak pihak terkait berdiskusi agar solusi mudah diterima.||Kamu cenderung mengambil kendali, menetapkan prioritas, dan mendorong tindakan segera sebelum melangkah lebih jauh.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_015,DISC,TARGET_I,V13_10_DISC_I_NEW_015,"Saat memperkenalkan produk baru kepada calon pelanggan, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan kebutuhan orang lain dan mencari penyesuaian yang stabil.||Mempertimbangkan dampak perubahan terhadap orang yang menjalankannya.||Memastikan orang yang terdampak mendapat dukungan dan ritme kerja tetap terjaga.||Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_016,DISC,TARGET_I,V13_10_DISC_I_NEW_016,"Jika acara kantor terasa sepi dan peserta kurang aktif, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa data, asumsi, dan persyaratan secara rinci.||Meninjau fakta, kriteria, dan risiko sebelum menentukan langkah.||Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.||Memastikan detail proses dan standar tetap jelas.","4,1,2,3",1,MEDIUM
V13_10_DISC_NEW_017,DISC,TARGET_I,V13_10_DISC_I_NEW_017,"Ketika harus membangun hubungan dengan mitra baru, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan tindakan paling tegas agar tujuan utama segera bergerak.||Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.||Menentukan hasil yang harus dicapai agar masalah tidak berlarut.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_018,DISC,TARGET_I,V13_10_DISC_I_NEW_018,"Saat tim kehilangan semangat setelah menerima kabar buruk, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.||Menggunakan pendekatan komunikatif untuk menjaga energi dan hubungan.||Mengajak pihak terkait berdiskusi agar solusi mudah diterima.||Membuka komunikasi agar pihak terkait tetap bersemangat dan mau terlibat.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_019,DISC,TARGET_I,V13_10_DISC_I_NEW_019,"Jika kamu harus menyampaikan presentasi dengan waktu persiapan sangat singkat, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan kebutuhan orang lain dan mencari penyesuaian yang stabil.||Mempertimbangkan dampak perubahan terhadap orang yang menjalankannya.||Memastikan orang yang terdampak mendapat dukungan dan ritme kerja tetap terjaga.||Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_020,DISC,TARGET_I,V13_10_DISC_I_NEW_020,"Ketika ide baru muncul saat diskusi, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa data, asumsi, dan persyaratan secara rinci.||Meninjau fakta, kriteria, dan risiko sebelum menentukan langkah.||Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.||Memastikan detail proses dan standar tetap jelas.","4,1,2,3",1,MEDIUM
V13_10_DISC_NEW_021,DISC,TARGET_I,V13_10_DISC_I_NEW_021,"Saat menghadapi pelanggan yang sangat banyak berbicara, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan tindakan paling tegas agar tujuan utama segera bergerak.||Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.||Menentukan hasil yang harus dicapai agar masalah tidak berlarut.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_022,DISC,TARGET_I,V13_10_DISC_I_NEW_022,"Jika tim diminta menghasilkan ide untuk kampanye baru, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.||Menggunakan pendekatan komunikatif untuk menjaga energi dan hubungan.||Mengajak pihak terkait berdiskusi agar solusi mudah diterima.||Membuka komunikasi agar pihak terkait tetap bersemangat dan mau terlibat.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_023,DISC,TARGET_I,V13_10_DISC_I_NEW_023,"Ketika bertemu orang baru dalam sebuah konferensi, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan kebutuhan orang lain dan mencari penyesuaian yang stabil.||Mempertimbangkan dampak perubahan terhadap orang yang menjalankannya.||Memastikan orang yang terdampak mendapat dukungan dan ritme kerja tetap terjaga.||Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_024,DISC,TARGET_I,V13_10_DISC_I_NEW_024,"Saat sebuah rapat mulai terlalu formal dan peserta pasif, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa data, asumsi, dan persyaratan secara rinci.||Meninjau fakta, kriteria, dan risiko sebelum menentukan langkah.||Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.||Memastikan detail proses dan standar tetap jelas.","4,1,2,3",1,MEDIUM
V13_10_DISC_NEW_025,DISC,TARGET_I,V13_10_DISC_I_NEW_025,"Jika pelanggan ragu mengikuti program baru, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan tindakan paling tegas agar tujuan utama segera bergerak.||Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.||Menentukan hasil yang harus dicapai agar masalah tidak berlarut.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_026,DISC,TARGET_I,V13_10_DISC_I_NEW_026,"Ketika diminta menjadi penghubung antarbagian yang jarang berkomunikasi, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.||Menggunakan pendekatan komunikatif untuk menjaga energi dan hubungan.||Mengajak pihak terkait berdiskusi agar solusi mudah diterima.||Membuka komunikasi agar pihak terkait tetap bersemangat dan mau terlibat.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_027,DISC,TARGET_I,V13_10_DISC_I_NEW_027,"Saat sebuah ide mendapat respons antusias dari banyak orang, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan kebutuhan orang lain dan mencari penyesuaian yang stabil.||Mempertimbangkan dampak perubahan terhadap orang yang menjalankannya.||Memastikan orang yang terdampak mendapat dukungan dan ritme kerja tetap terjaga.||Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_028,DISC,TARGET_I,V13_10_DISC_I_NEW_028,"Jika harus meyakinkan tim untuk mencoba pendekatan yang belum pernah digunakan, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa data, asumsi, dan persyaratan secara rinci.||Meninjau fakta, kriteria, dan risiko sebelum menentukan langkah.||Kamu cenderung membangun antusiasme, membuka interaksi, dan membuat orang tertarik terlibat sebelum melangkah lebih jauh.||Memastikan detail proses dan standar tetap jelas.","4,1,2,3",1,MEDIUM
V13_10_DISC_NEW_029,DISC,TARGET_S,V13_10_DISC_S_NEW_029,"Ketika anggota baru bergabung dengan tim yang sudah lama bekerja bersama, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan tindakan paling tegas agar tujuan utama segera bergerak.||Mengambil keputusan yang paling cepat menghasilkan kemajuan.||Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_030,DISC,TARGET_S,V13_10_DISC_S_NEW_030,"Saat jadwal kerja tim berubah mendadak, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membangun interaksi yang hidup dan membuat orang tertarik ikut terlibat.||Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.||Mengajak pihak terkait berdiskusi agar solusi mudah diterima.||Membuka komunikasi agar pihak terkait tetap bersemangat dan mau terlibat.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_031,DISC,TARGET_S,V13_10_DISC_S_NEW_031,"Jika rekan kerja sedang kewalahan dengan banyak tugas, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.||Mempertimbangkan dampak perubahan terhadap orang yang menjalankannya.||Memastikan orang yang terdampak mendapat dukungan dan ritme kerja tetap terjaga.||Memberi ruang agar orang merasa nyaman dan didengarkan.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_032,DISC,TARGET_S,V13_10_DISC_S_NEW_032,"Ketika dua orang dalam tim mengalami ketegangan setelah salah paham, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa data, asumsi, dan persyaratan secara rinci.||Meninjau fakta, kriteria, dan risiko sebelum menentukan langkah.||Menyiapkan informasi terstruktur agar pembahasan tetap akurat.||Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.","4,1,2,3",1,MEDIUM
V13_10_DISC_NEW_033,DISC,TARGET_S,V13_10_DISC_S_NEW_033,"Saat perusahaan memperkenalkan prosedur baru, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan tindakan paling tegas agar tujuan utama segera bergerak.||Mengambil keputusan yang paling cepat menghasilkan kemajuan.||Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_034,DISC,TARGET_S,V13_10_DISC_S_NEW_034,"Jika pelanggan kecewa karena layanan tidak sesuai harapan, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membangun interaksi yang hidup dan membuat orang tertarik ikut terlibat.||Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.||Mengajak pihak terkait berdiskusi agar solusi mudah diterima.||Membuka komunikasi agar pihak terkait tetap bersemangat dan mau terlibat.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_035,DISC,TARGET_S,V13_10_DISC_S_NEW_035,"Ketika pekerjaan rutin harus dilakukan berulang setiap minggu, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.||Mempertimbangkan dampak perubahan terhadap orang yang menjalankannya.||Memastikan orang yang terdampak mendapat dukungan dan ritme kerja tetap terjaga.||Memberi ruang agar orang merasa nyaman dan didengarkan.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_036,DISC,TARGET_S,V13_10_DISC_S_NEW_036,"Saat seorang rekan meminta bantuan memahami tugas yang belum pernah ia kerjakan, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa data, asumsi, dan persyaratan secara rinci.||Meninjau fakta, kriteria, dan risiko sebelum menentukan langkah.||Menyiapkan informasi terstruktur agar pembahasan tetap akurat.||Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.","4,1,2,3",1,MEDIUM
V13_10_DISC_NEW_037,DISC,TARGET_S,V13_10_DISC_S_NEW_037,"Jika terjadi perubahan pimpinan di tengah proyek, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan tindakan paling tegas agar tujuan utama segera bergerak.||Mengambil keputusan yang paling cepat menghasilkan kemajuan.||Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_038,DISC,TARGET_S,V13_10_DISC_S_NEW_038,"Ketika seorang pelanggan lama meminta bantuan di luar proses biasa, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membangun interaksi yang hidup dan membuat orang tertarik ikut terlibat.||Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.||Mengajak pihak terkait berdiskusi agar solusi mudah diterima.||Membuka komunikasi agar pihak terkait tetap bersemangat dan mau terlibat.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_039,DISC,TARGET_S,V13_10_DISC_S_NEW_039,"Jika sebuah tim harus bekerja dengan anggota yang memiliki ritme berbeda-beda, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.||Mempertimbangkan dampak perubahan terhadap orang yang menjalankannya.||Memastikan orang yang terdampak mendapat dukungan dan ritme kerja tetap terjaga.||Memberi ruang agar orang merasa nyaman dan didengarkan.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_040,DISC,TARGET_S,V13_10_DISC_S_NEW_040,"Saat rekan kerja menerima kritik keras dari atasan, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa data, asumsi, dan persyaratan secara rinci.||Meninjau fakta, kriteria, dan risiko sebelum menentukan langkah.||Menyiapkan informasi terstruktur agar pembahasan tetap akurat.||Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.","4,1,2,3",1,MEDIUM
V13_10_DISC_NEW_041,DISC,TARGET_S,V13_10_DISC_S_NEW_041,"Jika proyek harus berpindah tangan dari satu tim ke tim lain, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan tindakan paling tegas agar tujuan utama segera bergerak.||Mengambil keputusan yang paling cepat menghasilkan kemajuan.||Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.||Menetapkan keputusan yang memungkinkan pekerjaan tetap bergerak.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_042,DISC,TARGET_S,V13_10_DISC_S_NEW_042,"Ketika tim mulai lelah menjelang akhir proyek, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membangun interaksi yang hidup dan membuat orang tertarik ikut terlibat.||Kamu cenderung menjaga kestabilan, mendengarkan orang, dan memastikan kerja sama tetap nyaman sebelum melangkah lebih jauh.||Mengajak pihak terkait berdiskusi agar solusi mudah diterima.||Membuka komunikasi agar pihak terkait tetap bersemangat dan mau terlibat.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_043,DISC,TARGET_C,V13_10_DISC_C_NEW_043,"Saat menerima laporan dengan angka yang tampak tidak konsisten, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan kebutuhan orang lain dan mencari penyesuaian yang stabil.||Kamu cenderung memeriksa informasi, menjaga standar, dan memastikan keputusan didukung bukti sebelum melangkah lebih jauh.||Memastikan orang yang terdampak mendapat dukungan dan ritme kerja tetap terjaga.||Memberi ruang agar orang merasa nyaman dan didengarkan.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_044,DISC,TARGET_C,V13_10_DISC_C_NEW_044,"Jika instruksi dari dua pihak berbeda tentang pekerjaan yang sama, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung memeriksa informasi, menjaga standar, dan memastikan keputusan didukung bukti sebelum melangkah lebih jauh.||Meninjau fakta, kriteria, dan risiko sebelum menentukan langkah.||Menyiapkan informasi terstruktur agar pembahasan tetap akurat.||Memastikan detail proses dan standar tetap jelas.","4,1,2,3",1,MEDIUM
V13_10_DISC_NEW_045,DISC,TARGET_C,V13_10_DISC_C_NEW_045,"Ketika diminta menyetujui dokumen penting dalam waktu singkat, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan tindakan paling tegas agar tujuan utama segera bergerak.||Mengambil keputusan yang paling cepat menghasilkan kemajuan.||Menentukan hasil yang harus dicapai agar masalah tidak berlarut.||Kamu cenderung memeriksa informasi, menjaga standar, dan memastikan keputusan didukung bukti sebelum melangkah lebih jauh.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_046,DISC,TARGET_C,V13_10_DISC_C_NEW_046,"Jika sebuah kesalahan kecil ditemukan setelah pekerjaan hampir selesai, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membangun interaksi yang hidup dan membuat orang tertarik ikut terlibat.||Menggunakan pendekatan komunikatif untuk menjaga energi dan hubungan.||Kamu cenderung memeriksa informasi, menjaga standar, dan memastikan keputusan didukung bukti sebelum melangkah lebih jauh.||Membuka komunikasi agar pihak terkait tetap bersemangat dan mau terlibat.","2,3,4,1",1,MEDIUM
V13_10_DISC_NEW_047,DISC,TARGET_C,V13_10_DISC_C_NEW_047,"Saat menyusun anggaran untuk kegiatan baru, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan kebutuhan orang lain dan mencari penyesuaian yang stabil.||Kamu cenderung memeriksa informasi, menjaga standar, dan memastikan keputusan didukung bukti sebelum melangkah lebih jauh.||Memastikan orang yang terdampak mendapat dukungan dan ritme kerja tetap terjaga.||Memberi ruang agar orang merasa nyaman dan didengarkan.","3,4,1,2",1,MEDIUM
V13_10_DISC_NEW_048,DISC,TARGET_C,V13_10_DISC_C_NEW_048,"Jika data pelanggan memiliki beberapa format penulisan yang berbeda, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Kamu cenderung memeriksa informasi, menjaga standar, dan memastikan keputusan didukung bukti sebelum melangkah lebih jauh.||Meninjau fakta, kriteria, dan risiko sebelum menentukan langkah.||Menyiapkan informasi terstruktur agar pembahasan tetap akurat.||Memastikan detail proses dan standar tetap jelas.","4,1,2,3",1,MEDIUM
V13_10_DISC_NEW_049,DISC,TARGET_C,V13_10_DISC_C_NEW_049,"Ketika sebuah prosedur kerja dianggap terlalu rumit oleh tim, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan tindakan paling tegas agar tujuan utama segera bergerak.||Mengambil keputusan yang paling cepat menghasilkan kemajuan.||Menentukan hasil yang harus dicapai agar masalah tidak berlarut.||Kamu cenderung memeriksa informasi, menjaga standar, dan memastikan keputusan didukung bukti sebelum melangkah lebih jauh.","1,2,3,4",1,MEDIUM
V13_10_DISC_NEW_050,DISC,TARGET_C,V13_10_DISC_C_NEW_050,"Saat memilih vendor untuk pekerjaan yang penting, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membangun interaksi yang hidup dan membuat orang tertarik ikut terlibat.||Menggunakan pendekatan komunikatif untuk menjaga energi dan hubungan.||Kamu cenderung memeriksa informasi, menjaga standar, dan memastikan keputusan didukung bukti sebelum melangkah lebih jauh.||Membuka komunikasi agar pihak terkait tetap bersemangat dan mau terlibat.","2,3,4,1",1,MEDIUM
