id,domain,subdomain,indicator,text,type,reverseScore,weight,scale,scoringKey,difficulty,status,mappingStatus,sourceFile,role
RIASEC-A-R003,A,Artistic,originality,Saya senang menemukan sudut pandang yang berbeda dari pendekatan yang umum.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-A-R004,A,Artistic,aesthetics,Saya menikmati memilih unsur visual atau bentuk yang membuat sebuah karya terasa lebih menarik.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-S-R001,S,Social,helping,Saya menikmati menjadi orang yang dapat diandalkan ketika orang lain membutuhkan bantuan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-S-R002,S,Social,teaching,Saya tertarik menjelaskan suatu hal dengan cara yang sesuai dengan orang yang belajar.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-S-R003,S,Social,communication,Saya menikmati percakapan yang membantu saya memahami pengalaman orang lain.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-S-R004,S,Social,development,Saya tertarik mendukung orang lain ketika mereka sedang berusaha meningkatkan kemampuannya.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-E-R001,E,Enterprising,influence,Saya tertarik mengajak orang lain melihat peluang dari sebuah gagasan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-E-R002,E,Enterprising,leadership,Saya menikmati mengambil tanggung jawab untuk mengarahkan suatu kegiatan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-E-R003,E,Enterprising,initiative,Saya tertarik mengubah sebuah peluang menjadi kegiatan yang nyata.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-E-R004,E,Enterprising,persuasion,Saya menikmati mencari titik temu ketika perlu mendapatkan persetujuan dari orang lain.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-C-R001,C,Conventional,organization,Saya menikmati menjaga dokumen atau informasi tetap tersusun rapi.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-C-R002,C,Conventional,structure,Saya tertarik pada pekerjaan yang memiliki aturan dan alur yang jelas.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-C-R003,C,Conventional,information_order,Saya menikmati mengatur data agar mudah diperiksa dan digunakan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-C-R004,C,Conventional,accuracy,Saya tertarik memeriksa kembali detail sebelum menyatakan sebuah pekerjaan selesai.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
