id,domain,subdomain,indicator,text,type,reverseScore,weight,scale,scoringKey,difficulty,status,mappingStatus,sourceFile,role
RIASEC-I-004,I,Investigative,analysis,Saya menikmati membandingkan informasi untuk menemukan pola atau perbedaan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-I-005,I,Investigative,analysis,Saya tertarik menganalisis informasi sebelum menarik kesimpulan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-I-006,I,Investigative,analysis,Saya menikmati memahami hubungan antara berbagai fakta atau informasi.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-I-007,I,Investigative,investigation,Saya tertarik melakukan pencarian informasi untuk menguji dugaan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-I-008,I,Investigative,investigation,Saya menikmati menyelidiki suatu masalah sampai menemukan penjelasan yang masuk akal.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-I-009,I,Investigative,problem_solving,Saya tertarik menggunakan logika untuk menemukan solusi atas masalah yang rumit.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-I-010,I,Investigative,problem_solving,Saya menikmati memecah masalah menjadi bagian-bagian yang lebih kecil untuk dipahami.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-A-001,A,Artistic,creativity,Saya tertarik menciptakan sesuatu dengan cara yang berbeda dari biasanya.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-A-002,A,Artistic,creativity,Saya menikmati mencoba ide baru ketika membuat sesuatu.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-A-003,A,Artistic,creativity,Saya tertarik menemukan berbagai kemungkinan sebelum memilih satu cara untuk berkarya.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-A-004,A,Artistic,expression,"Saya menikmati menyampaikan gagasan melalui tulisan, gambar, musik, atau bentuk ekspresi lainnya.",LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-A-005,A,Artistic,expression,Saya tertarik menggunakan cara yang kreatif untuk menyampaikan apa yang saya pikirkan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-A-006,A,Artistic,originality,Saya senang menghasilkan ide atau karya yang memiliki ciri khas saya sendiri.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-A-007,A,Artistic,originality,Saya tertarik mencoba pendekatan yang tidak biasa untuk menghasilkan sesuatu.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-A-008,A,Artistic,originality,Saya menikmati mengembangkan konsep yang berbeda dari contoh yang sudah ada.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-A-009,A,Artistic,aesthetics,"Saya tertarik memperhatikan komposisi, bentuk, warna, atau tampilan ketika membuat sesuatu.",LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-A-010,A,Artistic,aesthetics,Saya menikmati kegiatan yang memberi kesempatan untuk memperhatikan dan mengolah unsur keindahan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-S-001,S,Social,helping,Saya tertarik membantu orang lain mengatasi kesulitan yang mereka hadapi.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-S-002,S,Social,helping,Saya menikmati kegiatan yang membuat orang lain merasa terbantu.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-S-003,S,Social,helping,Saya tertarik memahami kebutuhan seseorang agar dapat memberikan bantuan yang sesuai.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-S-004,S,Social,teaching,Saya menikmati menjelaskan sesuatu kepada orang yang sedang belajar.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-S-005,S,Social,teaching,Saya tertarik membantu orang lain memahami keterampilan atau pengetahuan baru.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-S-006,S,Social,communication,Saya menikmati berdiskusi untuk memahami cara berpikir orang lain.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-S-007,S,Social,communication,Saya tertarik mendengarkan pengalaman orang lain dan menanggapinya dengan baik.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-S-008,S,Social,communication,Saya menikmati kegiatan yang banyak melibatkan interaksi dengan orang lain.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-S-009,S,Social,development,Saya tertarik membantu seseorang mengembangkan kemampuan yang dimilikinya.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-S-010,S,Social,development,Saya menikmati kegiatan yang mendorong orang lain menjadi lebih berkembang.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-E-001,E,Enterprising,influence,Saya tertarik menyampaikan gagasan agar orang lain tertarik mempertimbangkannya.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-E-002,E,Enterprising,influence,Saya menikmati situasi ketika saya perlu meyakinkan orang lain tentang sebuah ide.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-E-003,E,Enterprising,influence,Saya tertarik memengaruhi arah suatu kegiatan melalui gagasan atau keputusan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-E-004,E,Enterprising,leadership,Saya tertarik mengambil peran untuk mengarahkan sebuah kegiatan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-E-005,E,Enterprising,leadership,Saya menikmati kesempatan untuk mengoordinasikan orang lain menuju suatu tujuan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-E-006,E,Enterprising,initiative,Saya tertarik memulai kegiatan atau proyek tanpa harus selalu menunggu instruksi.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-E-007,E,Enterprising,initiative,Saya menikmati mencari peluang baru untuk membuat sesuatu dapat berjalan lebih baik.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-E-008,E,Enterprising,initiative,Saya tertarik mengambil langkah pertama ketika melihat sebuah peluang.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-E-009,E,Enterprising,persuasion,Saya menikmati kegiatan yang melibatkan negosiasi atau membangun kesepakatan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-E-010,E,Enterprising,persuasion,Saya tertarik menyusun cara penyampaian yang membuat orang lain bersedia bekerja sama.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-C-001,C,Conventional,organization,Saya menikmati mengatur informasi agar mudah ditemukan kembali.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-C-002,C,Conventional,organization,"Saya tertarik menyusun dokumen, catatan, atau data secara teratur.",LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-C-003,C,Conventional,organization,Saya menikmati membuat sistem sederhana agar pekerjaan tersusun rapi.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-C-004,C,Conventional,structure,Saya tertarik bekerja dengan prosedur yang jelas dan teratur.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-C-005,C,Conventional,structure,Saya menikmati mengikuti langkah kerja yang sudah tersusun dengan baik.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-C-006,C,Conventional,information_order,Saya tertarik mengelompokkan informasi berdasarkan kategori yang jelas.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-C-007,C,Conventional,information_order,Saya menikmati membuat daftar atau susunan informasi agar lebih mudah digunakan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-C-008,C,Conventional,information_order,Saya tertarik memastikan informasi tersimpan dalam urutan yang mudah dipahami.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-C-009,C,Conventional,accuracy,Saya menikmati kegiatan yang membutuhkan ketelitian dalam memeriksa detail.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-C-010,C,Conventional,accuracy,Saya tertarik memastikan data atau dokumen tersusun dengan benar sebelum digunakan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,TARGET
RIASEC-R-R001,R,Realistic,hands_on,Saya tertarik belajar menggunakan keterampilan praktis untuk menghasilkan sesuatu yang dapat dipakai.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-R-R002,R,Realistic,tools_equipment,Saya menikmati mencoba berbagai peralatan untuk memahami kegunaannya.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-R-R003,R,Realistic,practical_problem_solving,Saya tertarik mencari solusi langsung ketika sebuah benda atau perangkat mengalami masalah.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-R-R004,R,Realistic,physical_environment,Saya tertarik pada kegiatan yang dilakukan di lingkungan kerja yang nyata dan konkret.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-I-R001,I,Investigative,curiosity,Saya menikmati mencari jawaban atas pertanyaan yang membuat saya penasaran.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-I-R002,I,Investigative,analysis,Saya tertarik menelaah informasi secara rinci sebelum memutuskan apa yang berarti.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-I-R003,I,Investigative,investigation,Saya menikmati mengumpulkan bukti untuk memahami sebuah persoalan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-I-R004,I,Investigative,problem_solving,Saya tertarik mencari penjelasan logis ketika menghadapi persoalan yang kompleks.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-A-R001,A,Artistic,creativity,Saya menikmati mengembangkan beberapa ide sebelum menentukan karya yang akan dibuat.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-A-R002,A,Artistic,expression,Saya tertarik menggunakan media kreatif untuk menyampaikan sebuah pesan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-A-R003,A,Artistic,originality,Saya senang menemukan sudut pandang yang berbeda dari pendekatan yang umum.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-A-R004,A,Artistic,aesthetics,Saya menikmati memilih unsur visual atau bentuk yang membuat sebuah karya terasa lebih menarik.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-S-R001,S,Social,helping,Saya menikmati menjadi orang yang dapat diandalkan ketika orang lain membutuhkan bantuan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-S-R002,S,Social,teaching,Saya tertarik menjelaskan suatu hal dengan cara yang sesuai dengan orang yang belajar.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-S-R003,S,Social,communication,Saya menikmati percakapan yang membantu saya memahami pengalaman orang lain.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-S-R004,S,Social,development,Saya tertarik mendukung orang lain ketika mereka sedang berusaha meningkatkan kemampuannya.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-E-R001,E,Enterprising,influence,Saya tertarik mengajak orang lain melihat peluang dari sebuah gagasan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-E-R002,E,Enterprising,leadership,Saya menikmati mengambil tanggung jawab untuk mengarahkan suatu kegiatan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-E-R003,E,Enterprising,initiative,Saya tertarik mengubah sebuah peluang menjadi kegiatan yang nyata.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-E-R004,E,Enterprising,persuasion,Saya menikmati mencari titik temu ketika perlu mendapatkan persetujuan dari orang lain.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-C-R001,C,Conventional,organization,Saya menikmati menjaga dokumen atau informasi tetap tersusun rapi.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-C-R002,C,Conventional,structure,Saya tertarik pada pekerjaan yang memiliki aturan dan alur yang jelas.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-C-R003,C,Conventional,information_order,Saya menikmati mengatur data agar mudah diperiksa dan digunakan.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
RIASEC-C-R004,C,Conventional,accuracy,Saya tertarik memeriksa kembali detail sebelum menyatakan sebuah pekerjaan selesai.,LIKERT,false,1,1|2|3|4|5,1|2|3|4|5,UNSPECIFIED,DRAFT,MAPPED,RIASEC_QB_V1_candidate,RESERVE
