id,domain,subdomain,indicator,text,role,selection_basis,approval_status
RIASEC-I-005,I,Investigative,analysis,Saya tertarik menganalisis informasi sebelum menarik kesimpulan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-I-006,I,Investigative,analysis,Saya menikmati memahami hubungan antara berbagai fakta atau informasi.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-I-007,I,Investigative,investigation,Saya tertarik melakukan pencarian informasi untuk menguji dugaan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-I-008,I,Investigative,investigation,Saya menikmati menyelidiki suatu masalah sampai menemukan penjelasan yang masuk akal.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-I-009,I,Investigative,problem_solving,Saya tertarik menggunakan logika untuk menemukan solusi atas masalah yang rumit.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-I-010,I,Investigative,problem_solving,Saya menikmati memecah masalah menjadi bagian-bagian yang lebih kecil untuk dipahami.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-A-001,A,Artistic,creativity,Saya tertarik menciptakan sesuatu dengan cara yang berbeda dari biasanya.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-A-002,A,Artistic,creativity,Saya menikmati mencoba ide baru ketika membuat sesuatu.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-A-003,A,Artistic,creativity,Saya tertarik menemukan berbagai kemungkinan sebelum memilih satu cara untuk berkarya.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-A-004,A,Artistic,expression,"Saya menikmati menyampaikan gagasan melalui tulisan, gambar, musik, atau bentuk ekspresi lainnya.",TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-A-005,A,Artistic,expression,Saya tertarik menggunakan cara yang kreatif untuk menyampaikan apa yang saya pikirkan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-A-006,A,Artistic,originality,Saya senang menghasilkan ide atau karya yang memiliki ciri khas saya sendiri.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-A-007,A,Artistic,originality,Saya tertarik mencoba pendekatan yang tidak biasa untuk menghasilkan sesuatu.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-A-008,A,Artistic,originality,Saya menikmati mengembangkan konsep yang berbeda dari contoh yang sudah ada.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-A-009,A,Artistic,aesthetics,"Saya tertarik memperhatikan komposisi, bentuk, warna, atau tampilan ketika membuat sesuatu.",TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-A-010,A,Artistic,aesthetics,Saya menikmati kegiatan yang memberi kesempatan untuk memperhatikan dan mengolah unsur keindahan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-S-001,S,Social,helping,Saya tertarik membantu orang lain mengatasi kesulitan yang mereka hadapi.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-S-002,S,Social,helping,Saya menikmati kegiatan yang membuat orang lain merasa terbantu.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-S-003,S,Social,helping,Saya tertarik memahami kebutuhan seseorang agar dapat memberikan bantuan yang sesuai.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-S-004,S,Social,teaching,Saya menikmati menjelaskan sesuatu kepada orang yang sedang belajar.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-S-005,S,Social,teaching,Saya tertarik membantu orang lain memahami keterampilan atau pengetahuan baru.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-S-006,S,Social,communication,Saya menikmati berdiskusi untuk memahami cara berpikir orang lain.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-S-007,S,Social,communication,Saya tertarik mendengarkan pengalaman orang lain dan menanggapinya dengan baik.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-S-008,S,Social,communication,Saya menikmati kegiatan yang banyak melibatkan interaksi dengan orang lain.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-S-009,S,Social,development,Saya tertarik membantu seseorang mengembangkan kemampuan yang dimilikinya.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-S-010,S,Social,development,Saya menikmati kegiatan yang mendorong orang lain menjadi lebih berkembang.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-E-001,E,Enterprising,influence,Saya tertarik menyampaikan gagasan agar orang lain tertarik mempertimbangkannya.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-E-002,E,Enterprising,influence,Saya menikmati situasi ketika saya perlu meyakinkan orang lain tentang sebuah ide.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-E-003,E,Enterprising,influence,Saya tertarik memengaruhi arah suatu kegiatan melalui gagasan atau keputusan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-E-004,E,Enterprising,leadership,Saya tertarik mengambil peran untuk mengarahkan sebuah kegiatan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-E-005,E,Enterprising,leadership,Saya menikmati kesempatan untuk mengoordinasikan orang lain menuju suatu tujuan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-E-006,E,Enterprising,initiative,Saya tertarik memulai kegiatan atau proyek tanpa harus selalu menunggu instruksi.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-E-007,E,Enterprising,initiative,Saya menikmati mencari peluang baru untuk membuat sesuatu dapat berjalan lebih baik.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-E-008,E,Enterprising,initiative,Saya tertarik mengambil langkah pertama ketika melihat sebuah peluang.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-E-009,E,Enterprising,persuasion,Saya menikmati kegiatan yang melibatkan negosiasi atau membangun kesepakatan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-E-010,E,Enterprising,persuasion,Saya tertarik menyusun cara penyampaian yang membuat orang lain bersedia bekerja sama.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-C-001,C,Conventional,organization,Saya menikmati mengatur informasi agar mudah ditemukan kembali.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-C-002,C,Conventional,organization,"Saya tertarik menyusun dokumen, catatan, atau data secara teratur.",TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-C-003,C,Conventional,organization,Saya menikmati membuat sistem sederhana agar pekerjaan tersusun rapi.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-C-004,C,Conventional,structure,Saya tertarik bekerja dengan prosedur yang jelas dan teratur.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-C-005,C,Conventional,structure,Saya menikmati mengikuti langkah kerja yang sudah tersusun dengan baik.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-C-006,C,Conventional,information_order,Saya tertarik mengelompokkan informasi berdasarkan kategori yang jelas.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-C-007,C,Conventional,information_order,Saya menikmati membuat daftar atau susunan informasi agar lebih mudah digunakan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-C-008,C,Conventional,information_order,Saya tertarik memastikan informasi tersimpan dalam urutan yang mudah dipahami.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-C-009,C,Conventional,accuracy,Saya menikmati kegiatan yang membutuhkan ketelitian dalam memeriksa detail.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
RIASEC-C-010,C,Conventional,accuracy,Saya tertarik memastikan data atau dokumen tersusun dengan benar sebelum digunakan.,TARGET,SOURCE_CANDIDATE_ROLE,NOT_APPROVED
