id,text,domain,subdomain,indicator,type,answerType,reverseScore,weight,scale,scoringKey,correctOption,options,difficulty
DISC-V2-011,"Ketika rencana kerja tim tiba-tiba berubah, kamu biasanya...",DISC,TARGET_S,BEHAVIORAL_SCENARIO_011,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[3,4,1,2]",,"[""Membantu anggota tim beradaptasi tanpa membuat perubahan terasa mendadak."", ""Memastikan rincian perubahan, dampaknya, dan prosedur baru dipahami dengan benar."", ""Menentukan penyesuaian utama dan meminta semua orang segera bergerak."", ""Membantu tim melihat perubahan sebagai kesempatan baru.""]",MEDIUM
DISC-V2-012,Kamu diminta memeriksa hasil pekerjaan orang lain sebelum dikirim ke klien. Kamu cenderung...,DISC,TARGET_C,BEHAVIORAL_SCENARIO_012,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[4,1,2,3]",,"[""Memeriksa ketepatan isi, konsistensi format, dan kesesuaian dengan standar."", ""Fokus pada hal yang paling penting agar hasil bisa segera dikirim."", ""Menyampaikan temuan dengan cara yang tetap membuat rekan nyaman menerimanya."", ""Membantu memperbaiki bagian yang bermasalah tanpa membuat rekan merasa disalahkan.""]",MEDIUM
DISC-V2-013,"Dalam keadaan darurat kecil di kantor, kamu lebih mungkin...",DISC,TARGET_D,BEHAVIORAL_SCENARIO_013,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[1,2,3,4]",,"[""Mengambil peran mengatur tindakan sampai situasi kembali terkendali."", ""Mengajak orang tetap tenang dengan komunikasi yang positif."", ""Memastikan orang-orang di sekitar saling membantu dan tidak panik."", ""Mencari informasi faktual tentang apa yang terjadi sebelum menentukan tindakan.""]",MEDIUM
DISC-V2-014,"Ketika harus menyampaikan ide kepada orang yang belum mengenalmu, kamu biasanya...",DISC,TARGET_I,BEHAVIORAL_SCENARIO_014,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[2,3,4,1]",,"[""Menggunakan cerita dan contoh agar mereka tertarik mengikuti ide."", ""Membangun rasa nyaman terlebih dahulu sebelum masuk ke pokok pembahasan."", ""Menyiapkan penjelasan terstruktur agar pertanyaan dapat dijawab dengan tepat."", ""Menyampaikan inti keputusan atau manfaat yang perlu segera dipahami.""]",MEDIUM
DISC-V2-015,Seorang teman kerja sedang kecewa karena hasil kerjanya tidak sesuai harapan. Kamu lebih mungkin...,DISC,TARGET_S,BEHAVIORAL_SCENARIO_015,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[3,4,1,2]",,"[""Mendengarkan ceritanya dan menemaninya sampai emosinya lebih stabil."", ""Membantunya meninjau apa yang terjadi agar dapat memahami bagian yang perlu diperbaiki."", ""Membantunya menentukan langkah berikutnya agar masalah tidak berlarut."", ""Mengangkat kembali semangatnya dengan mengingatkan hal-hal yang sudah ia lakukan dengan baik.""]",MEDIUM
DISC-V2-016,"Sebelum mengambil keputusan yang berdampak pada banyak orang, kamu cenderung...",DISC,TARGET_C,BEHAVIORAL_SCENARIO_016,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[4,1,2,3]",,"[""Mengumpulkan informasi dan membandingkan konsekuensi setiap pilihan secara rinci."", ""Menentukan pilihan yang paling tegas dan dapat segera dijalankan."", ""Membahas pilihan dengan orang lain untuk melihat respons dan dukungan mereka."", ""Mempertimbangkan dampaknya terhadap orang-orang yang akan menjalankannya.""]",MEDIUM
DISC-V2-017,"Jika anggota tim berulang kali menunda tugas penting, respons yang paling mungkin kamu ambil adalah...",DISC,TARGET_D,BEHAVIORAL_SCENARIO_017,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[1,2,3,4]",,"[""Menetapkan batas waktu yang tegas dan meminta komitmen tindakan."", ""Mengajak berbicara dengan cara yang membangkitkan motivasinya."", ""Mencari tahu hambatan yang ia hadapi dan membantu membuat langkah yang realistis."", ""Meninjau detail tugas untuk memastikan tidak ada instruksi atau kriteria yang membingungkan.""]",MEDIUM
DISC-V2-018,"Dalam diskusi kelompok, kamu paling nyaman ketika bisa...",DISC,TARGET_I,BEHAVIORAL_SCENARIO_018,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[2,3,4,1]",,"[""Membangun pertukaran ide yang hidup dan membuat banyak orang terlibat."", ""Membuat setiap orang merasa didengar sebelum keputusan dibuat."", ""Menyusun argumen berdasarkan informasi yang jelas dan terstruktur."", ""Mendorong diskusi menuju keputusan yang konkret.""]",MEDIUM
DISC-V2-019,"Ketika harus bekerja sama dengan orang yang gaya kerjanya sangat berbeda darimu, kamu cenderung...",DISC,TARGET_S,BEHAVIORAL_SCENARIO_019,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[3,4,1,2]",,"[""Menyesuaikan ritme dan mencari pola kerja yang dapat dijalankan bersama."", ""Menyepakati aturan, peran, dan standar kerja secara jelas sejak awal."", ""Menetapkan cara kerja yang menurutmu paling efektif agar tujuan tercapai."", ""Mencari pendekatan komunikasi yang membuat kolaborasi terasa menyenangkan.""]",MEDIUM
DISC-V2-020,"Jika sebuah keputusan terasa terlalu cepat dibuat tanpa data yang cukup, kamu cenderung...",DISC,TARGET_C,BEHAVIORAL_SCENARIO_020,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[4,1,2,3]",,"[""Meminta data tambahan dan menguji asumsi sebelum keputusan ditetapkan."", ""Tetap menentukan keputusan sementara agar pekerjaan tidak berhenti."", ""Mengajak pihak terkait membahas pilihan sambil menjaga suasana tetap terbuka."", ""Meminta waktu yang wajar agar semua pihak dapat memahami dampaknya.""]",MEDIUM
DISC-V2-021,Kamu dipercaya memimpin kegiatan yang melibatkan banyak orang. Hal yang paling mungkin menjadi fokus awalmu adalah...,DISC,TARGET_D,BEHAVIORAL_SCENARIO_021,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[1,2,3,4]",,"[""Menetapkan tujuan, prioritas, dan siapa yang bertanggung jawab atas tiap bagian."", ""Membangun antusiasme agar orang-orang bersemangat berkontribusi."", ""Memastikan koordinasi berjalan nyaman dan tidak ada anggota yang tertinggal."", ""Menetapkan prosedur dan detail pelaksanaan agar kualitas tetap terjaga.""]",MEDIUM
DISC-V2-022,"Ketika sebuah acara komunitas mulai kehilangan peserta, kamu cenderung...",DISC,TARGET_I,BEHAVIORAL_SCENARIO_022,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[2,3,4,1]",,"[""Menghidupkan kembali interaksi dan mencari cara menarik perhatian peserta."", ""Mendekati peserta dan mencari tahu apa yang membuat mereka kurang nyaman."", ""Melihat data kehadiran dan pola kegiatan sebelum menentukan perubahan."", ""Mengubah prioritas kegiatan agar tujuan utama tetap tercapai.""]",MEDIUM
DISC-V2-023,"Saat menerima masukan keras dari seseorang, kamu biasanya...",DISC,TARGET_S,BEHAVIORAL_SCENARIO_023,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[3,4,1,2]",,"[""Mendengarkan sampai selesai dan memberi waktu untuk memahami maksudnya."", ""Memilah fakta, contoh, dan standar yang digunakan dalam masukan tersebut."", ""Mengambil inti masalah dan menentukan tindakan perbaikan."", ""Menanggapi secara terbuka dan menjaga hubungan tetap positif.""]",MEDIUM
DISC-V2-024,"Dalam menyusun rencana untuk pekerjaan yang kompleks, kamu paling mungkin...",DISC,TARGET_C,BEHAVIORAL_SCENARIO_024,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[4,1,2,3]",,"[""Memecah pekerjaan menjadi langkah rinci, kriteria, dan pemeriksaan yang jelas."", ""Menentukan hasil akhir dan mendorong tim segera memulai bagian terpenting."", ""Mengajak orang bertukar ide agar rencana terasa menarik dan mudah dijalankan."", ""Menyusun ritme kerja yang stabil agar semua pihak dapat mengikuti prosesnya.""]",MEDIUM
DISC-V2-025,"Saat klien meminta perubahan besar sehari sebelum pekerjaan selesai, kamu paling mungkin...",DISC,TARGET_D,V13_10_DISC_D_NEW_001,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[1,2,3,4]",,"[""Memastikan perubahan yang paling berdampak disepakati, lalu mengarahkan tim menyesuaikan rencana dan tenggat."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.""]",MEDIUM
DISC-V2-026,"Ketika dua anggota tim berbeda pendapat tentang prioritas proyek, kamu paling mungkin...",DISC,TARGET_D,V13_10_DISC_D_NEW_002,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[2,3,4,1]",,"[""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Menetapkan prioritas yang paling mendukung tujuan proyek dan meminta tim segera menjalankan keputusan.""]",MEDIUM
DISC-V2-027,"Jika hasil penjualan bulan ini jauh di bawah target, kamu paling mungkin...",DISC,TARGET_D,V13_10_DISC_D_NEW_003,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[3,4,1,2]",,"[""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Mengidentifikasi penyebab utama penurunan dan menetapkan tindakan yang paling cepat mengembalikan hasil."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.""]",MEDIUM
DISC-V2-028,"Dalam pekerjaan dengan tenggat sangat ketat, kamu paling mungkin...",DISC,TARGET_D,V13_10_DISC_D_NEW_004,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[4,1,2,3]",,"[""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Menentukan prioritas pekerjaan dan mendorong penyelesaian bagian yang paling menentukan hasil."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.""]",MEDIUM
DISC-V2-029,"Saat memperkenalkan produk baru kepada calon pelanggan, kamu paling mungkin...",DISC,TARGET_I,V13_10_DISC_I_NEW_015,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[1,2,3,4]",,"[""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya."", ""Membangun percakapan yang menarik, menggali minat calon pelanggan, dan membuat mereka antusias mengenal produk."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.""]",MEDIUM
DISC-V2-030,"Jika acara kantor terasa sepi dan peserta kurang aktif, kamu paling mungkin...",DISC,TARGET_I,V13_10_DISC_I_NEW_016,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[2,3,4,1]",,"[""Menghidupkan interaksi dengan mengajak peserta terlibat dan membuat suasana kembali energik."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.""]",MEDIUM
DISC-V2-031,"Ketika harus membangun hubungan dengan mitra baru, kamu paling mungkin...",DISC,TARGET_I,V13_10_DISC_I_NEW_017,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[3,4,1,2]",,"[""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya."", ""Membuka percakapan secara aktif, menemukan kesamaan, dan membangun hubungan yang membuat kolaborasi terasa menarik.""]",MEDIUM
DISC-V2-032,"Saat tim kehilangan semangat setelah menerima kabar buruk, kamu paling mungkin...",DISC,TARGET_I,V13_10_DISC_I_NEW_018,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[4,1,2,3]",,"[""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya."", ""Mengajak tim berinteraksi, mengangkat energi mereka, dan membantu melihat langkah berikutnya secara positif."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.""]",MEDIUM
DISC-V2-033,"Ketika anggota baru bergabung dengan tim yang sudah lama bekerja bersama, kamu paling mungkin...",DISC,TARGET_S,V13_10_DISC_S_NEW_029,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[1,2,3,4]",,"[""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Membantu anggota baru mengenal orang-orang dan ritme kerja tim secara bertahap agar ia merasa diterima."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.""]",MEDIUM
DISC-V2-034,"Saat jadwal kerja tim berubah mendadak, kamu paling mungkin...",DISC,TARGET_S,V13_10_DISC_S_NEW_030,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[2,3,4,1]",,"[""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Membantu tim menyesuaikan perubahan secara bertahap sambil memastikan orang-orang memahami dampaknya."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.""]",MEDIUM
DISC-V2-035,"Jika rekan kerja sedang kewalahan dengan banyak tugas, kamu paling mungkin...",DISC,TARGET_S,V13_10_DISC_S_NEW_031,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[3,4,1,2]",,"[""Mendengarkan kesulitannya dan membantu membagi pekerjaan atau langkah berikutnya secara realistis."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.""]",MEDIUM
DISC-V2-036,"Ketika dua orang dalam tim mengalami ketegangan setelah salah paham, kamu paling mungkin...",DISC,TARGET_S,V13_10_DISC_S_NEW_032,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[4,1,2,3]",,"[""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Mendengarkan kedua pihak, menurunkan ketegangan, dan membantu mereka menemukan cara bekerja sama kembali.""]",MEDIUM
DISC-V2-037,"Saat menerima laporan dengan angka yang tampak tidak konsisten, kamu paling mungkin...",DISC,TARGET_C,V13_10_DISC_C_NEW_043,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[1,2,3,4]",,"[""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Memeriksa sumber angka, mencocokkan data, dan memastikan penyebab ketidakkonsistenan jelas sebelum menyimpulkan.""]",MEDIUM
DISC-V2-038,"Jika instruksi dari dua pihak berbeda tentang pekerjaan yang sama, kamu paling mungkin...",DISC,TARGET_C,V13_10_DISC_C_NEW_044,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[2,3,4,1]",,"[""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Membandingkan kedua instruksi, mencari kriteria yang berlaku, dan memastikan dasar keputusan terdokumentasi."", ""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.""]",MEDIUM
DISC-V2-039,"Ketika diminta menyetujui dokumen penting dalam waktu singkat, kamu paling mungkin...",DISC,TARGET_C,V13_10_DISC_C_NEW_045,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[3,4,1,2]",,"[""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Memeriksa bagian yang paling kritis, memastikan persyaratan terpenuhi, lalu memberikan persetujuan berdasarkan bukti yang tersedia."", ""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.""]",MEDIUM
DISC-V2-040,"Jika sebuah kesalahan kecil ditemukan setelah pekerjaan hampir selesai, kamu paling mungkin...",DISC,TARGET_C,V13_10_DISC_C_NEW_046,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[4,1,2,3]",,"[""Menelusuri sumber kesalahan, memperbaikinya, dan memeriksa kembali hasil sebelum pekerjaan dikirim."", ""Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.""]",MEDIUM
DISC-V2-041,"Saat atasan menyerahkan masalah pelanggan yang mendesak kepadamu, kamu paling mungkin...",DISC,TARGET_D,V13_10_DISC_D_NEW_005,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[1,2,3,4]",,"[""Menentukan tindakan utama untuk menyelesaikan masalah pelanggan dan mengambil tanggung jawab atas eksekusinya."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.""]",MEDIUM
DISC-V2-042,"Ketika sebuah rencana tidak menghasilkan kemajuan setelah beberapa minggu, kamu paling mungkin...",DISC,TARGET_D,V13_10_DISC_D_NEW_006,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[2,3,4,1]",,"[""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Menghentikan pendekatan yang tidak efektif, memilih alternatif yang lebih menjanjikan, dan menggerakkan tim mencobanya.""]",MEDIUM
DISC-V2-043,"Jika anggota tim membutuhkan keputusanmu agar dapat melanjutkan pekerjaan, kamu paling mungkin...",DISC,TARGET_D,V13_10_DISC_D_NEW_007,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[3,4,1,2]",,"[""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap."", ""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Memberikan keputusan yang cukup jelas agar anggota tim dapat segera melanjutkan pekerjaan."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.""]",MEDIUM
DISC-V2-044,"Saat sebuah peluang bisnis muncul tetapi waktu merespons sangat singkat, kamu paling mungkin...",DISC,TARGET_D,V13_10_DISC_D_NEW_008,SCENARIO,SINGLE_CHOICE_4,False,1,"[1,2,3,4]","[4,1,2,3]",,"[""Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat."", ""Menilai peluang secara cepat, memilih langkah dengan potensi hasil terbesar, lalu bertindak."", ""Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju."", ""Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.""]",MEDIUM
