id,domain,subdomain,indicator,text,type,answerType,options,scoringKey,weight,difficulty
DISC-V2-001,DISC,TARGET_D,BEHAVIORAL_SCENARIO_001,"Saat proyek tim mulai terlambat dari jadwal, apa yang paling mungkin kamu lakukan lebih dulu?",SCENARIO,SINGLE_CHOICE_4,Menetapkan langkah yang harus segera dilakukan agar pekerjaan kembali bergerak.||Mengajak tim melihat sisi positif situasi agar energi tetap terjaga.||Mengecek kondisi anggota tim dan membantu menjaga kerja sama tetap tenang.||Menelusuri penyebab keterlambatan dan memastikan detail rencana sebelum bertindak.,"1,2,3,4",1,MEDIUM
DISC-V2-012,DISC,TARGET_C,BEHAVIORAL_SCENARIO_012,Kamu diminta memeriksa hasil pekerjaan orang lain sebelum dikirim ke klien. Kamu cenderung...,SCENARIO,SINGLE_CHOICE_4,"Memeriksa ketepatan isi, konsistensi format, dan kesesuaian dengan standar.||Fokus pada hal yang paling penting agar hasil bisa segera dikirim.||Menyampaikan temuan dengan cara yang tetap membuat rekan nyaman menerimanya.||Membantu memperbaiki bagian yang bermasalah tanpa membuat rekan merasa disalahkan.","4,1,2,3",1,MEDIUM
DISC-V2-013,DISC,TARGET_D,BEHAVIORAL_SCENARIO_013,"Dalam keadaan darurat kecil di kantor, kamu lebih mungkin...",SCENARIO,SINGLE_CHOICE_4,Mengambil peran mengatur tindakan sampai situasi kembali terkendali.||Mengajak orang tetap tenang dengan komunikasi yang positif.||Memastikan orang-orang di sekitar saling membantu dan tidak panik.||Mencari informasi faktual tentang apa yang terjadi sebelum menentukan tindakan.,"1,2,3,4",1,MEDIUM
DISC-V2-014,DISC,TARGET_I,BEHAVIORAL_SCENARIO_014,"Ketika harus menyampaikan ide kepada orang yang belum mengenalmu, kamu biasanya...",SCENARIO,SINGLE_CHOICE_4,Menggunakan cerita dan contoh agar mereka tertarik mengikuti ide.||Membangun rasa nyaman terlebih dahulu sebelum masuk ke pokok pembahasan.||Menyiapkan penjelasan terstruktur agar pertanyaan dapat dijawab dengan tepat.||Menyampaikan inti keputusan atau manfaat yang perlu segera dipahami.,"2,3,4,1",1,MEDIUM
DISC-V2-015,DISC,TARGET_S,BEHAVIORAL_SCENARIO_015,Seorang teman kerja sedang kecewa karena hasil kerjanya tidak sesuai harapan. Kamu lebih mungkin...,SCENARIO,SINGLE_CHOICE_4,Mendengarkan ceritanya dan menemaninya sampai emosinya lebih stabil.||Membantunya meninjau apa yang terjadi agar dapat memahami bagian yang perlu diperbaiki.||Membantunya menentukan langkah berikutnya agar masalah tidak berlarut.||Mengangkat kembali semangatnya dengan mengingatkan hal-hal yang sudah ia lakukan dengan baik.,"3,4,1,2",1,MEDIUM
DISC-V2-016,DISC,TARGET_C,BEHAVIORAL_SCENARIO_016,"Sebelum mengambil keputusan yang berdampak pada banyak orang, kamu cenderung...",SCENARIO,SINGLE_CHOICE_4,Mengumpulkan informasi dan membandingkan konsekuensi setiap pilihan secara rinci.||Menentukan pilihan yang paling tegas dan dapat segera dijalankan.||Membahas pilihan dengan orang lain untuk melihat respons dan dukungan mereka.||Mempertimbangkan dampaknya terhadap orang-orang yang akan menjalankannya.,"4,1,2,3",1,MEDIUM
DISC-V2-017,DISC,TARGET_D,BEHAVIORAL_SCENARIO_017,"Jika anggota tim berulang kali menunda tugas penting, respons yang paling mungkin kamu ambil adalah...",SCENARIO,SINGLE_CHOICE_4,Menetapkan batas waktu yang tegas dan meminta komitmen tindakan.||Mengajak berbicara dengan cara yang membangkitkan motivasinya.||Mencari tahu hambatan yang ia hadapi dan membantu membuat langkah yang realistis.||Meninjau detail tugas untuk memastikan tidak ada instruksi atau kriteria yang membingungkan.,"1,2,3,4",1,MEDIUM
DISC-V2-018,DISC,TARGET_I,BEHAVIORAL_SCENARIO_018,"Dalam diskusi kelompok, kamu paling nyaman ketika bisa...",SCENARIO,SINGLE_CHOICE_4,Membangun pertukaran ide yang hidup dan membuat banyak orang terlibat.||Membuat setiap orang merasa didengar sebelum keputusan dibuat.||Menyusun argumen berdasarkan informasi yang jelas dan terstruktur.||Mendorong diskusi menuju keputusan yang konkret.,"2,3,4,1",1,MEDIUM
DISC-V2-019,DISC,TARGET_S,BEHAVIORAL_SCENARIO_019,"Ketika harus bekerja sama dengan orang yang gaya kerjanya sangat berbeda darimu, kamu cenderung...",SCENARIO,SINGLE_CHOICE_4,"Menyesuaikan ritme dan mencari pola kerja yang dapat dijalankan bersama.||Menyepakati aturan, peran, dan standar kerja secara jelas sejak awal.||Menetapkan cara kerja yang menurutmu paling efektif agar tujuan tercapai.||Mencari pendekatan komunikasi yang membuat kolaborasi terasa menyenangkan.","3,4,1,2",1,MEDIUM
DISC-V2-020,DISC,TARGET_C,BEHAVIORAL_SCENARIO_020,"Jika sebuah keputusan terasa terlalu cepat dibuat tanpa data yang cukup, kamu cenderung...",SCENARIO,SINGLE_CHOICE_4,Meminta data tambahan dan menguji asumsi sebelum keputusan ditetapkan.||Tetap menentukan keputusan sementara agar pekerjaan tidak berhenti.||Mengajak pihak terkait membahas pilihan sambil menjaga suasana tetap terbuka.||Meminta waktu yang wajar agar semua pihak dapat memahami dampaknya.,"4,1,2,3",1,MEDIUM
DISC-V2-021,DISC,TARGET_D,BEHAVIORAL_SCENARIO_021,Kamu dipercaya memimpin kegiatan yang melibatkan banyak orang. Hal yang paling mungkin menjadi fokus awalmu adalah...,SCENARIO,SINGLE_CHOICE_4,"Menetapkan tujuan, prioritas, dan siapa yang bertanggung jawab atas tiap bagian.||Membangun antusiasme agar orang-orang bersemangat berkontribusi.||Memastikan koordinasi berjalan nyaman dan tidak ada anggota yang tertinggal.||Menetapkan prosedur dan detail pelaksanaan agar kualitas tetap terjaga.","1,2,3,4",1,MEDIUM
DISC-V2-022,DISC,TARGET_I,BEHAVIORAL_SCENARIO_022,"Ketika sebuah acara komunitas mulai kehilangan peserta, kamu cenderung...",SCENARIO,SINGLE_CHOICE_4,Menghidupkan kembali interaksi dan mencari cara menarik perhatian peserta.||Mendekati peserta dan mencari tahu apa yang membuat mereka kurang nyaman.||Melihat data kehadiran dan pola kegiatan sebelum menentukan perubahan.||Mengubah prioritas kegiatan agar tujuan utama tetap tercapai.,"2,3,4,1",1,MEDIUM
DISC-V2-023,DISC,TARGET_S,BEHAVIORAL_SCENARIO_023,"Saat menerima masukan keras dari seseorang, kamu biasanya...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan sampai selesai dan memberi waktu untuk memahami maksudnya.||Memilah fakta, contoh, dan standar yang digunakan dalam masukan tersebut.||Mengambil inti masalah dan menentukan tindakan perbaikan.||Menanggapi secara terbuka dan menjaga hubungan tetap positif.","3,4,1,2",1,MEDIUM
DISC-V2-024,DISC,TARGET_C,BEHAVIORAL_SCENARIO_024,"Dalam menyusun rencana untuk pekerjaan yang kompleks, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memecah pekerjaan menjadi langkah rinci, kriteria, dan pemeriksaan yang jelas.||Menentukan hasil akhir dan mendorong tim segera memulai bagian terpenting.||Mengajak orang bertukar ide agar rencana terasa menarik dan mudah dijalankan.||Menyusun ritme kerja yang stabil agar semua pihak dapat mengikuti prosesnya.","4,1,2,3",1,MEDIUM
DISC-V2-025,DISC,TARGET_D,V13_10_DISC_D_NEW_001,"Saat klien meminta perubahan besar sehari sebelum pekerjaan selesai, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memastikan perubahan yang paling berdampak disepakati, lalu mengarahkan tim menyesuaikan rencana dan tenggat.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.","1,2,3,4",1,MEDIUM
DISC-V2-026,DISC,TARGET_D,V13_10_DISC_D_NEW_002,"Ketika dua anggota tim berbeda pendapat tentang prioritas proyek, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Menetapkan prioritas yang paling mendukung tujuan proyek dan meminta tim segera menjalankan keputusan.","2,3,4,1",1,MEDIUM
DISC-V2-027,DISC,TARGET_D,V13_10_DISC_D_NEW_003,"Jika hasil penjualan bulan ini jauh di bawah target, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Mengidentifikasi penyebab utama penurunan dan menetapkan tindakan yang paling cepat mengembalikan hasil.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.","3,4,1,2",1,MEDIUM
DISC-V2-028,DISC,TARGET_D,V13_10_DISC_D_NEW_004,"Dalam pekerjaan dengan tenggat sangat ketat, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Menentukan prioritas pekerjaan dan mendorong penyelesaian bagian yang paling menentukan hasil.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.","4,1,2,3",1,MEDIUM
DISC-V2-029,DISC,TARGET_I,V13_10_DISC_I_NEW_015,"Saat memperkenalkan produk baru kepada calon pelanggan, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.||Membangun percakapan yang menarik, menggali minat calon pelanggan, dan membuat mereka antusias mengenal produk.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.","1,2,3,4",1,MEDIUM
DISC-V2-030,DISC,TARGET_I,V13_10_DISC_I_NEW_016,"Jika acara kantor terasa sepi dan peserta kurang aktif, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menghidupkan interaksi dengan mengajak peserta terlibat dan membuat suasana kembali energik.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.","2,3,4,1",1,MEDIUM
DISC-V2-031,DISC,TARGET_I,V13_10_DISC_I_NEW_017,"Ketika harus membangun hubungan dengan mitra baru, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.||Membuka percakapan secara aktif, menemukan kesamaan, dan membangun hubungan yang membuat kolaborasi terasa menarik.","3,4,1,2",1,MEDIUM
DISC-V2-032,DISC,TARGET_I,V13_10_DISC_I_NEW_018,"Saat tim kehilangan semangat setelah menerima kabar buruk, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.||Mengajak tim berinteraksi, mengangkat energi mereka, dan membantu melihat langkah berikutnya secara positif.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.","4,1,2,3",1,MEDIUM
DISC-V2-033,DISC,TARGET_S,V13_10_DISC_S_NEW_029,"Ketika anggota baru bergabung dengan tim yang sudah lama bekerja bersama, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Membantu anggota baru mengenal orang-orang dan ritme kerja tim secara bertahap agar ia merasa diterima.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.","1,2,3,4",1,MEDIUM
DISC-V2-034,DISC,TARGET_S,V13_10_DISC_S_NEW_030,"Saat jadwal kerja tim berubah mendadak, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Membantu tim menyesuaikan perubahan secara bertahap sambil memastikan orang-orang memahami dampaknya.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.","2,3,4,1",1,MEDIUM
DISC-V2-035,DISC,TARGET_S,V13_10_DISC_S_NEW_031,"Jika rekan kerja sedang kewalahan dengan banyak tugas, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan kesulitannya dan membantu membagi pekerjaan atau langkah berikutnya secara realistis.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.","3,4,1,2",1,MEDIUM
DISC-V2-036,DISC,TARGET_S,V13_10_DISC_S_NEW_032,"Ketika dua orang dalam tim mengalami ketegangan setelah salah paham, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan kedua pihak, menurunkan ketegangan, dan membantu mereka menemukan cara bekerja sama kembali.","4,1,2,3",1,MEDIUM
DISC-V2-037,DISC,TARGET_C,V13_10_DISC_C_NEW_043,"Saat menerima laporan dengan angka yang tampak tidak konsisten, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa sumber angka, mencocokkan data, dan memastikan penyebab ketidakkonsistenan jelas sebelum menyimpulkan.","1,2,3,4",1,MEDIUM
DISC-V2-038,DISC,TARGET_C,V13_10_DISC_C_NEW_044,"Jika instruksi dari dua pihak berbeda tentang pekerjaan yang sama, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Membandingkan kedua instruksi, mencari kriteria yang berlaku, dan memastikan dasar keputusan terdokumentasi.||Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.","2,3,4,1",1,MEDIUM
DISC-V2-039,DISC,TARGET_C,V13_10_DISC_C_NEW_045,"Ketika diminta menyetujui dokumen penting dalam waktu singkat, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa bagian yang paling kritis, memastikan persyaratan terpenuhi, lalu memberikan persetujuan berdasarkan bukti yang tersedia.||Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.","3,4,1,2",1,MEDIUM
DISC-V2-040,DISC,TARGET_C,V13_10_DISC_C_NEW_046,"Jika sebuah kesalahan kecil ditemukan setelah pekerjaan hampir selesai, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menelusuri sumber kesalahan, memperbaikinya, dan memeriksa kembali hasil sebelum pekerjaan dikirim.||Menetapkan prioritas yang paling berdampak, menentukan langkah utama, lalu mendorong pelaksanaannya.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.","4,1,2,3",1,MEDIUM
DISC-V2-041,DISC,TARGET_D,V13_10_DISC_D_NEW_005,"Saat atasan menyerahkan masalah pelanggan yang mendesak kepadamu, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Menentukan tindakan utama untuk menyelesaikan masalah pelanggan dan mengambil tanggung jawab atas eksekusinya.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.","1,2,3,4",1,MEDIUM
DISC-V2-042,DISC,TARGET_D,V13_10_DISC_D_NEW_006,"Ketika sebuah rencana tidak menghasilkan kemajuan setelah beberapa minggu, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Menghentikan pendekatan yang tidak efektif, memilih alternatif yang lebih menjanjikan, dan menggerakkan tim mencobanya.","2,3,4,1",1,MEDIUM
DISC-V2-043,DISC,TARGET_D,V13_10_DISC_D_NEW_007,"Jika anggota tim membutuhkan keputusanmu agar dapat melanjutkan pekerjaan, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Memberikan keputusan yang cukup jelas agar anggota tim dapat segera melanjutkan pekerjaan.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.","3,4,1,2",1,MEDIUM
DISC-V2-044,DISC,TARGET_D,V13_10_DISC_D_NEW_008,"Saat sebuah peluang bisnis muncul tetapi waktu merespons sangat singkat, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Menilai peluang secara cepat, memilih langkah dengan potensi hasil terbesar, lalu bertindak.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.","4,1,2,3",1,MEDIUM
DISC-V2-045,DISC,TARGET_D,V13_10_DISC_D_NEW_009,"Ketika pekerjaanmu dikritik karena dianggap terlalu lambat, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Meninjau hambatan yang paling memengaruhi kecepatan kerja dan mengubah cara kerja agar hasil lebih cepat tercapai.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.","1,2,3,4",1,MEDIUM
DISC-V2-046,DISC,TARGET_D,V13_10_DISC_D_NEW_010,"Jika sebuah proyek memiliki banyak pilihan solusi, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.||Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Membandingkan pilihan berdasarkan dampak terhadap tujuan lalu memilih satu untuk segera diuji.","2,3,4,1",1,MEDIUM
DISC-V2-047,DISC,TARGET_D,V13_10_DISC_D_NEW_011,"Ketika pelanggan terus menunda keputusan pembelian, kamu paling mungkin...",SCENARIO,SINGLE_CHOICE_4,"Mendengarkan pihak yang terlibat, mempertimbangkan kebutuhan mereka, dan membantu penyesuaian berlangsung secara tenang dan bertahap.||Memeriksa informasi, kriteria, dan detail yang relevan agar keputusan dapat dibuat secara akurat.||Menetapkan langkah berikutnya yang lebih tegas dan meminta pelanggan menentukan keputusan pada batas waktu yang jelas.||Membuka komunikasi secara aktif, mengajak pihak terkait terlibat, dan menjaga energi positif agar situasi dapat bergerak maju.","3,4,1,2",1,MEDIUM
