id,domain,subdomain,indicator,text,type,answerType,scale,scoringKey,reverseScore,weight,difficulty
RIASEC-V2-037,S,Social,communication,Saya merasa tertarik pada mendengarkan pengalaman orang lain dan menanggapinya dengan baik.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-038,S,Social,communication,Saya cenderung menikmati kegiatan yang banyak melibatkan interaksi dengan orang lain.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-039,S,Social,development,Saya merasa tertarik pada membantu seseorang mengembangkan kemampuan yang dimilikinya.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-040,S,Social,development,Saya cenderung menikmati kegiatan yang mendorong orang lain menjadi lebih berkembang.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-041,E,Enterprising,influence,Saya merasa tertarik pada menyampaikan gagasan agar orang lain tertarik mempertimbangkannya.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-042,E,Enterprising,influence,Saya cenderung menikmati situasi ketika saya perlu meyakinkan orang lain tentang sebuah ide.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-043,E,Enterprising,influence,Saya merasa tertarik pada memengaruhi arah suatu kegiatan melalui gagasan atau keputusan.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-044,E,Enterprising,leadership,Saya merasa tertarik pada mengambil peran untuk mengarahkan sebuah kegiatan.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-045,E,Enterprising,leadership,Saya cenderung menikmati kesempatan untuk mengoordinasikan orang lain menuju suatu tujuan.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-046,E,Enterprising,initiative,Saya merasa tertarik pada memulai kegiatan atau proyek tanpa harus selalu menunggu instruksi.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-047,E,Enterprising,initiative,Saya cenderung menikmati mencari peluang baru untuk membuat sesuatu dapat berjalan lebih baik.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-048,E,Enterprising,initiative,Saya merasa tertarik pada mengambil langkah pertama ketika melihat sebuah peluang.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-049,E,Enterprising,persuasion,Saya cenderung menikmati kegiatan yang melibatkan negosiasi atau membangun kesepakatan.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-050,E,Enterprising,persuasion,Saya merasa tertarik pada menyusun cara penyampaian yang membuat orang lain bersedia bekerja sama.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-051,C,Conventional,organization,Saya cenderung menikmati mengatur informasi agar mudah ditemukan kembali.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-052,C,Conventional,organization,"Saya merasa tertarik pada menyusun dokumen, catatan, atau data secara teratur.",PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-053,C,Conventional,organization,Saya cenderung menikmati membuat sistem sederhana agar pekerjaan tersusun rapi.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-054,C,Conventional,structure,Saya merasa tertarik pada bekerja dengan prosedur yang jelas dan teratur.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-055,C,Conventional,structure,Saya cenderung menikmati mengikuti langkah kerja yang sudah tersusun dengan baik.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-056,C,Conventional,information_order,Saya merasa tertarik pada mengelompokkan informasi berdasarkan kategori yang jelas.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-057,C,Conventional,information_order,Saya cenderung menikmati membuat daftar atau susunan informasi agar lebih mudah digunakan.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-058,C,Conventional,information_order,Saya merasa tertarik pada memastikan informasi tersimpan dalam urutan yang mudah dipahami.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-059,C,Conventional,accuracy,Saya cenderung menikmati kegiatan yang membutuhkan ketelitian dalam memeriksa detail.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
RIASEC-V2-060,C,Conventional,accuracy,Saya merasa tertarik pada memastikan data atau dokumen tersusun dengan benar sebelum digunakan.,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",False,1,MEDIUM
