id,domain,subdomain,indicator,role,mapping_review_status,mapping_decision,reviewer_note
RIASEC-S-001,S,Social,helping,TARGET,PENDING_REVIEW,,
RIASEC-S-002,S,Social,helping,TARGET,PENDING_REVIEW,,
RIASEC-S-003,S,Social,helping,TARGET,PENDING_REVIEW,,
RIASEC-S-004,S,Social,teaching,TARGET,PENDING_REVIEW,,
RIASEC-S-005,S,Social,teaching,TARGET,PENDING_REVIEW,,
RIASEC-S-006,S,Social,communication,TARGET,PENDING_REVIEW,,
RIASEC-S-007,S,Social,communication,TARGET,PENDING_REVIEW,,
RIASEC-S-008,S,Social,communication,TARGET,PENDING_REVIEW,,
RIASEC-S-009,S,Social,development,TARGET,PENDING_REVIEW,,
RIASEC-S-010,S,Social,development,TARGET,PENDING_REVIEW,,
RIASEC-E-001,E,Enterprising,influence,TARGET,PENDING_REVIEW,,
RIASEC-E-002,E,Enterprising,influence,TARGET,PENDING_REVIEW,,
RIASEC-E-003,E,Enterprising,influence,TARGET,PENDING_REVIEW,,
RIASEC-E-004,E,Enterprising,leadership,TARGET,PENDING_REVIEW,,
RIASEC-E-005,E,Enterprising,leadership,TARGET,PENDING_REVIEW,,
RIASEC-E-006,E,Enterprising,initiative,TARGET,PENDING_REVIEW,,
RIASEC-E-007,E,Enterprising,initiative,TARGET,PENDING_REVIEW,,
RIASEC-E-008,E,Enterprising,initiative,TARGET,PENDING_REVIEW,,
RIASEC-E-009,E,Enterprising,persuasion,TARGET,PENDING_REVIEW,,
RIASEC-E-010,E,Enterprising,persuasion,TARGET,PENDING_REVIEW,,
RIASEC-C-001,C,Conventional,organization,TARGET,PENDING_REVIEW,,
RIASEC-C-002,C,Conventional,organization,TARGET,PENDING_REVIEW,,
RIASEC-C-003,C,Conventional,organization,TARGET,PENDING_REVIEW,,
RIASEC-C-004,C,Conventional,structure,TARGET,PENDING_REVIEW,,
RIASEC-C-005,C,Conventional,structure,TARGET,PENDING_REVIEW,,
RIASEC-C-006,C,Conventional,information_order,TARGET,PENDING_REVIEW,,
RIASEC-C-007,C,Conventional,information_order,TARGET,PENDING_REVIEW,,
RIASEC-C-008,C,Conventional,information_order,TARGET,PENDING_REVIEW,,
RIASEC-C-009,C,Conventional,accuracy,TARGET,PENDING_REVIEW,,
RIASEC-C-010,C,Conventional,accuracy,TARGET,PENDING_REVIEW,,
RIASEC-R-R001,R,Realistic,hands_on,RESERVE,PENDING_REVIEW,,
RIASEC-R-R002,R,Realistic,tools_equipment,RESERVE,PENDING_REVIEW,,
RIASEC-R-R003,R,Realistic,practical_problem_solving,RESERVE,PENDING_REVIEW,,
RIASEC-R-R004,R,Realistic,physical_environment,RESERVE,PENDING_REVIEW,,
RIASEC-I-R001,I,Investigative,curiosity,RESERVE,PENDING_REVIEW,,
RIASEC-I-R002,I,Investigative,analysis,RESERVE,PENDING_REVIEW,,
RIASEC-I-R003,I,Investigative,investigation,RESERVE,PENDING_REVIEW,,
RIASEC-I-R004,I,Investigative,problem_solving,RESERVE,PENDING_REVIEW,,
RIASEC-A-R001,A,Artistic,creativity,RESERVE,PENDING_REVIEW,,
RIASEC-A-R002,A,Artistic,expression,RESERVE,PENDING_REVIEW,,
RIASEC-A-R003,A,Artistic,originality,RESERVE,PENDING_REVIEW,,
RIASEC-A-R004,A,Artistic,aesthetics,RESERVE,PENDING_REVIEW,,
RIASEC-S-R001,S,Social,helping,RESERVE,PENDING_REVIEW,,
RIASEC-S-R002,S,Social,teaching,RESERVE,PENDING_REVIEW,,
RIASEC-S-R003,S,Social,communication,RESERVE,PENDING_REVIEW,,
RIASEC-S-R004,S,Social,development,RESERVE,PENDING_REVIEW,,
RIASEC-E-R001,E,Enterprising,influence,RESERVE,PENDING_REVIEW,,
RIASEC-E-R002,E,Enterprising,leadership,RESERVE,PENDING_REVIEW,,
RIASEC-E-R003,E,Enterprising,initiative,RESERVE,PENDING_REVIEW,,
RIASEC-E-R004,E,Enterprising,persuasion,RESERVE,PENDING_REVIEW,,
RIASEC-C-R001,C,Conventional,organization,RESERVE,PENDING_REVIEW,,
RIASEC-C-R002,C,Conventional,structure,RESERVE,PENDING_REVIEW,,
RIASEC-C-R003,C,Conventional,information_order,RESERVE,PENDING_REVIEW,,
RIASEC-C-R004,C,Conventional,accuracy,RESERVE,PENDING_REVIEW,,
