id,domain,subdomain,indicator,text,type,answerType,options,scoringKey,weight,difficulty
V11_7_11_DISC_011,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 11: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_012,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 12: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_013,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 13: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_014,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 14: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_015,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 15: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_016,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 16: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_017,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 17: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_018,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 18: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_019,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 19: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_020,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 20: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_021,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 21: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_022,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 22: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_023,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 23: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_024,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 24: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_025,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 25: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_026,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 26: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_027,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 27: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_028,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 28: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_029,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 29: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_030,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 30: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_031,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 31: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_032,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 32: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_033,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 33: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_034,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 34: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_035,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 35: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_036,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 36: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_037,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 37: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_038,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 38: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_039,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 39: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_040,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 40: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_041,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 41: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_042,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 42: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_043,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 43: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_044,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 44: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_045,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 45: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_046,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 46: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_047,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 47: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_048,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 48: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_049,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 49: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_050,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 50: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_051,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 51: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_052,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 52: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_053,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 53: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_054,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 54: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_055,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 55: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_056,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 56: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_057,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 57: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_058,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 58: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_059,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 59: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_060,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 60: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_061,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 61: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_062,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 62: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_063,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 63: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_064,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 64: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_065,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 65: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_066,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 66: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_067,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 67: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_068,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 68: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_069,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 69: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_070,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 70: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_071,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 71: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_072,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 72: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_073,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 73: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_074,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 74: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_075,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 75: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_076,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 76: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_077,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 77: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_078,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 78: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_079,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 79: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_080,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 80: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_081,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 81: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_082,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 82: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_083,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 83: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_084,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 84: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_085,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 85: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_086,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 86: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_087,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 87: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_088,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 88: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_089,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 89: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_090,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 90: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_091,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 91: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_092,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 92: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_093,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 93: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_094,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 94: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_095,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 95: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_096,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 96: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
V11_7_11_DISC_097,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 97: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"1,2,3,4",1,MEDIUM
V11_7_11_DISC_098,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 98: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"2,1,4,3",1,MEDIUM
V11_7_11_DISC_099,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 99: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"3,4,1,2",1,MEDIUM
V11_7_11_DISC_100,Behavioral Scenario,Team Situation,Target Orientation,Fixture DISC scenario 100: bagaimana Anda merespons situasi target tim?,SCENARIO,SINGLE_CHOICE_4,Pilihan 1||Pilihan 2||Pilihan 3||Pilihan 4,"4,3,2,1",1,MEDIUM
