id,domain,subdomain,indicator,text,type,answerType,scale,scoringKey,reverseScore,weight,difficulty
V11_7_11_RIASEC_012,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 12: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_013,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 13: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_014,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 14: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_015,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 15: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_016,Social,Interest Activity,Activity Preference,Fixture RIASEC item 16: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_017,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 17: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_018,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 18: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_019,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 19: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_020,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 20: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_021,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 21: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_022,Social,Interest Activity,Activity Preference,Fixture RIASEC item 22: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_023,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 23: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_024,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 24: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_025,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 25: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_026,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 26: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_027,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 27: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_028,Social,Interest Activity,Activity Preference,Fixture RIASEC item 28: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_029,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 29: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_030,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 30: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_031,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 31: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_032,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 32: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_033,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 33: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_034,Social,Interest Activity,Activity Preference,Fixture RIASEC item 34: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_035,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 35: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_036,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 36: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_037,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 37: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_038,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 38: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_039,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 39: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_040,Social,Interest Activity,Activity Preference,Fixture RIASEC item 40: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_041,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 41: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_042,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 42: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_043,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 43: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_044,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 44: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_045,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 45: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_046,Social,Interest Activity,Activity Preference,Fixture RIASEC item 46: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_047,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 47: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_048,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 48: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_049,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 49: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_050,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 50: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_051,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 51: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_052,Social,Interest Activity,Activity Preference,Fixture RIASEC item 52: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_053,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 53: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_054,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 54: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_055,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 55: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_056,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 56: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_057,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 57: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_058,Social,Interest Activity,Activity Preference,Fixture RIASEC item 58: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_059,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 59: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_060,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 60: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_061,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 61: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_062,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 62: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_063,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 63: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_064,Social,Interest Activity,Activity Preference,Fixture RIASEC item 64: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_065,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 65: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_066,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 66: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_067,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 67: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_068,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 68: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_069,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 69: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_070,Social,Interest Activity,Activity Preference,Fixture RIASEC item 70: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_071,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 71: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_072,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 72: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_073,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 73: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_074,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 74: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_075,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 75: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_076,Social,Interest Activity,Activity Preference,Fixture RIASEC item 76: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_077,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 77: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_078,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 78: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_079,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 79: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_080,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 80: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_081,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 81: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_082,Social,Interest Activity,Activity Preference,Fixture RIASEC item 82: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_083,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 83: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_084,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 84: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_085,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 85: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_086,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 86: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_087,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 87: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_088,Social,Interest Activity,Activity Preference,Fixture RIASEC item 88: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_089,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 89: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_090,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 90: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_091,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 91: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_092,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 92: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_093,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 93: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_094,Social,Interest Activity,Activity Preference,Fixture RIASEC item 94: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_095,Enterprising,Interest Activity,Activity Preference,Fixture RIASEC item 95: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_096,Conventional,Interest Activity,Activity Preference,Fixture RIASEC item 96: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_097,Realistic,Interest Activity,Activity Preference,Fixture RIASEC item 97: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_098,Investigative,Interest Activity,Activity Preference,Fixture RIASEC item 98: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_099,Artistic,Interest Activity,Activity Preference,Fixture RIASEC item 99: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
V11_7_11_RIASEC_100,Social,Interest Activity,Activity Preference,Fixture RIASEC item 100: seberapa Anda tertarik melakukan aktivitas ini?,PREFERENCE,LIKERT_5,"1,2,3,4,5","1,2,3,4,5",false,1,MEDIUM
